Road_ID,Project_Name,Timestamp,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,LinAccelX,LinAccelY,LinAccelZ,SpeedKmh,SpeedGPS,Latitude,Longitude,GPSTime,GPSAcc,RecIntvl,Enumerator
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:25 GMT 2025,0.04824636,-0.018652374,-0.056706548,9.869349,-0.2650082,0.30219314,0.31676292,0.31676292,0.31676292,0.0,0.0,6.6880114,-1.5902834,1764494904469,2.528,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:26 GMT 2025,-0.05365888,0.017053599,0.050311446,9.758542,-0.048108492,1.1941081,-0.25267982,-0.25267982,-0.25267982,0.0,0.0,6.6880114,-1.5902834,1764494905469,2.528,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:27 GMT 2025,-0.006445061,0.023598583,0.057522587,10.220623,0.010699089,0.45429978,-0.012187958,-0.012187958,-0.012187958,0.0,0.0,6.6880114,-1.5902834,1764494906469,0.51,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:28 GMT 2025,8.6600304E-4,-0.014105857,-0.02349866,9.36088,-0.5331588,0.37229836,-0.10233688,-0.10233688,-0.10233688,0.0,0.0,6.6880114,-1.5902834,1764494907469,0.51,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:29 GMT 2025,-0.0018818913,0.016437404,0.0037970904,9.8824415,-0.42953476,0.3979612,0.1873188,0.1873188,0.1873188,1.836,0.51,6.6880121,-1.590281,1764494908469,0.612,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:30 GMT 2025,0.07062921,6.828101E-4,-0.07079575,9.487099,-0.3887585,-0.4074632,0.20840168,0.20840168,0.20840168,0.036,0.01,6.688012,-1.5902813,1764494909469,0.714,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:31 GMT 2025,0.09043071,0.027845329,-0.0116577335,9.784354,-0.026036944,0.73112935,-0.0032434464,-0.0032434464,-0.0032434464,0.0,0.0,6.6880118,-1.5902818,1764494910469,0.714,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:32 GMT 2025,0.14748698,0.053842075,0.0033640887,10.145879,-0.048557404,0.97758245,0.20920181,0.20920181,0.20920181,1.8,0.5,6.6880117,-1.5902829,1764494911469,0.714,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:33 GMT 2025,0.14059226,0.03207542,-0.012407159,9.492486,0.21450551,-0.71803606,0.043247223,0.043247223,0.043247223,1.7639999,0.48999998,6.6880143,-1.5902812,1764494912469,0.714,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:34 GMT 2025,0.15146726,0.02576359,-0.12030781,9.484256,-0.9460838,1.4442273,0.5939064,0.5939064,0.5939064,0.0,0.0,6.688016,-1.590278,1764494914122,5.115,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:35 GMT 2025,0.124004975,-0.0035805895,-0.08185394,9.912893,-0.16781858,-0.54774845,0.75863457,0.75863457,0.75863457,3.168,0.88,6.6880199,-1.5902751,1764494914469,5.115,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:36 GMT 2025,0.15411523,-0.020534264,-0.2068415,10.106898,-0.10736498,0.5422119,0.04902935,0.04902935,0.04902935,1.4399998,0.39999998,6.6880225,-1.5902717,1764494915469,5.285,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:37 GMT 2025,0.058455206,-0.061436255,-0.057639163,9.178322,-0.5942857,2.066645,0.2496624,0.2496624,0.2496624,3.5279999,0.97999996,6.6880287,-1.5902652,1764494916469,5.455,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:38 GMT 2025,8.6600304E-4,-0.018902183,0.001232389,10.09156,1.1478701,0.577676,0.11910534,0.11910534,0.11910534,3.4199998,0.95,6.6880356,-1.5902601,1764494917469,5.625,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:39 GMT 2025,-0.06085337,0.027495597,-0.0054957885,9.812187,0.9136872,0.9433903,0.044537544,0.044537544,0.044537544,0.504,0.14,6.6880396,-1.5902578,1764494918469,5.796,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:40 GMT 2025,-0.062468797,0.024397971,0.031292688,9.813384,0.97429043,0.20717327,-0.07743168,-0.07743168,-0.07743168,0.036,0.01,6.6880383,-1.5902588,1764494919469,1.735,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:41 GMT 2025,0.015887825,1.8319295E-4,0.010525268,9.873837,0.6441899,-0.62443775,0.08544159,0.08544159,0.08544159,0.0,0.0,6.6880395,-1.5902591,1764494920701,2.903,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:42 GMT 2025,-0.011158116,0.051110834,0.033707503,9.850943,0.8539818,0.5969044,0.06833744,0.06833744,0.06833744,0.0,0.0,6.6880396,-1.5902591,1764494921469,2.733,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:43 GMT 2025,-0.07349368,0.046314508,0.13511313,9.782932,0.85787237,1.1102362,-0.69084835,-0.69084835,-0.69084835,0.0,0.0,6.6880396,-1.5902591,1764494922469,2.563,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:44 GMT 2025,-0.07795693,0.016354134,0.07437634,9.905111,0.7740005,0.6756886,-0.15222454,-0.15222454,-0.15222454,0.0,0.0,6.6880396,-1.5902591,1764494923469,2.308,1.0,archangelenoch@gmail.com
7519abe2-1525-4939-9f04-aeb1e805b42e,Road Conditions Assessment ,Sun Nov 30 09:28:45 GMT 2025,0.020867342,-0.01841922,0.0074442956,9.758167,0.73935944,-0.32374096,-0.1434784,-0.1434784,-0.1434784,1.584,0.44,6.6880385,-1.5902595,1764494924469,2.138,1.0,archangelenoch@gmail.com
